world_npu,gap_median_ms,gap_mean_ms,gap_p90_ms,median_step_ms,p99_over_p50_median,tflops_median,mfu,n_iters,n_ranks,step_files
8,0.2915000000000063,0.5803472222222213,0.8472999999999999,81.434,1.0034875354110795,,,72,8,8
16,0.534000000000006,0.8510833333333336,1.7382499999999992,81.498,1.0062176938736798,,,72,16,16
32,0.5782500000000041,0.8905694444444454,1.538449999999993,81.45475,1.0064718835582125,,,72,32,32
64,1.1455000000000055,11.0729375,3.3085999999999998,81.44800000000001,1.0099014586733024,,,72,64,64
96,1.264000000000003,9.59670138888889,3.5895499999999996,81.43924999999999,1.0092988358900858,,,72,96,96
