world_npu,gap_median_ms,gap_mean_ms,gap_p90_ms,median_step_ms,p99_over_p50_median,tflops_median,mfu,n_iters,n_ranks,step_files
32,25.353750000002037,44.65465625000161,33.88609999999899,129206.833,1.000192638792344,43.8,0.1495952730626046,32,32,32
64,,,,,,44.3,0.15130298165920966,,,64
