world_npu,gap_median_ms,gap_mean_ms,gap_p90_ms,median_step_ms,p99_over_p50_median,tflops_median,mfu,n_iters,n_ranks,step_files
16,1.5562500000014552,1.6690937499998881,2.2345500000024914,20177.701500000003,1.0000744997918771,117.2,0.40028689504422965,32,16,16
32,1.9735000000000582,2.0282499999999084,2.2831500000000235,19270.74075,1.0001004713372652,122.5,0.4183886061682434,70,32,32
64,2.430499999998574,2.468857142857243,2.9433999999986553,19327.9385,1.0001168993577412,121.6,0.41531473069435426,70,64,64
96,2.668999999999869,2.79571428571414,3.766199999996752,20837.698750000003,1.0001147915532864,113.3,0.38696676799071,70,96,96
