section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,3110131.3939375,-118867.62946093734,0.03681253187120269,-118867.62946093734,0.03681253187120269,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,2582222.7677812497,-646776.2556171878,0.20030240050567516,-118867.62946093734,0.03681253187120269,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2428782.652546875,-800216.3708515624,0.24782180640282617,-118867.62946093734,0.03681253187120269,,,,
detail,GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,1927854.325859375,-1301144.6975390625,0.40295605173941534,-118867.62946093734,0.03681253187120269,,,,
detail,Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3,between_compute_and_communication,remove all compute<->communication dependency,3548648.919027344,-604850.791015625,0.14562437299637315,196508.69095312478,0.04731159375742242,,,,
detail,Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3,communication_to_communication,remove communication->communication dependency,4350008.400996094,196508.69095312478,0.04731159375742242,196508.69095312478,0.04731159375742242,,,,
detail,Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3,communication_to_compute,remove communication->compute dependency,4036728.0527617186,-116771.65728125023,0.02811404007057032,196508.69095312478,0.04731159375742242,,,,
detail,Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3,compute_to_communication,remove compute->communication dependency,3699934.846175781,-453564.8638671879,0.10920064897813503,196508.69095312478,0.04731159375742242,,,,
detail,Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3,compute_to_compute,remove compute->compute dependency,3468378.102109374,-685121.6079335948,0.1649504407757638,196508.69095312478,0.04731159375742242,,,,
detail,Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5,between_compute_and_communication,remove all compute<->communication dependency,3571556.094046875,-581943.615996094,0.14010922273305604,203113.69155859342,0.048901819125561505,,,,
