section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,3310401.613304687,99131.18132031197,0.030869770522271075,99131.18132031197,0.030869770522271075,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,2788261.80615625,-423008.62582812505,0.1317262543867197,99131.18132031197,0.030869770522271075,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2594395.9939531246,-616874.4380312506,0.1920966954035256,99131.18132031197,0.030869770522271075,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,1977333.3006093754,-1233937.1313749999,0.3842520141203118,99131.18132031197,0.030869770522271075,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2461773.739375,-1430900.9781406252,0.3675881192184103,240804.88234374765,0.061861033818267165,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_communication,remove communication->communication dependency,4133479.5998593727,240804.88234374765,0.061861033818267165,240804.88234374765,0.061861033818267165,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_compute,remove communication->compute dependency,3399459.87228125,-493214.845234375,0.12670332895145,240804.88234374765,0.061861033818267165,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_communication,remove compute->communication dependency,2904767.8595546875,-987906.8579609375,0.25378613155517843,240804.88234374765,0.061861033818267165,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_compute,remove compute->compute dependency,2294798.5041640596,-1597876.2133515654,0.4104828503038545,240804.88234374765,0.061861033818267165,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,between_compute_and_communication,remove all compute<->communication dependency,2472547.53584375,-1420127.181671875,0.36482040877492733,271894.2143671857,0.06984765851196359,,,,
