config,START-3/5(or START_x),compute_to_compute_precision,communication_to_communication_precision,communication_to_compute_precision,compute_to_communication_precision,between_compute_and_communication_precision,original_precision
GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3_para,0.6873805270875704,0.9461545370811844,0.9177894284465418,0.8443352330900027,0.795786575170813,0.9461545370811844
GPT-MODEL_13b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5_para,0.7122873061905346,0.9710899563566654,0.8415612971329283,0.7695828619924722,0.7195938469241996,0.9710899563566654
GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,0.6143020162899299,0.9586582969550371,0.7787652922744932,0.7395768773657854,0.6198672608985631,0.9586582969550371
GPT-MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,0.5970439482605847,0.9631874681287973,0.7996975994943248,0.7521781935971739,0.6037282472177181,0.9631874681287973
Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_3,0.8350495592242362,0.9526884062425776,0.9718859599294297,0.890799351021865,0.8543756270036269,0.9526884062425776
Llama-MODEL_70b-TP_8-PP_4-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_2-GLOBAL_BATCH_32,START_5,0.8221034220498484,0.9510981808744385,0.9770779451672147,0.8954833301562612,0.859890777266944,0.9510981808744385
Mixtral8x7b-MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,0.8074869542606646,0.9258409923455275,0.8172276979481838,0.7791473229571,0.7513056807274552,0.9258409923455275
Mixtral8x7b-MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,0.8069528691459797,0.9247507655799543,0.8168457878652157,0.7791226513005537,0.7513056807274552,0.9247507655799543
