dataset,config,start_variant,kind,perturb_mode,original_precision,e0_precision,e10_precision,e20_precision,e30_precision,e40_precision,e50_precision,e60_precision,e70_precision,e80_precision,e90_precision,e100_precision
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication,negative,0.9586582969550371,0.9586582969550371,0.9362736509707447,0.9196780808783163,0.887267947700864,0.910424077665372,0.8305810580363506,0.8464681350642804,0.8286006368867396,0.8136329666152662,0.7715976042573678,0.8219820510432374
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication,positive,0.9586582969550371,0.9586582969550371,0.9872667986434531,0.9919798431525813,0.9371249992787261,0.9420157620441453,0.9181533772122161,0.8267504084364428,0.7658569275284415,0.8095369377653203,0.7501696286945122,0.737295652583958
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication,symmetric,0.9586582969550371,0.9586582969550371,0.9848026317984248,0.9338890792610368,0.9915473461328447,0.9475887786358411,0.9823255659506138,0.9129610025784402,0.9980177338023137,0.9576587730934918,0.8881309521530939,0.8009719117164158
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,gpu,negative,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371,0.9586582969550371
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,gpu,positive,0.9586582969550371,0.9586582969550371,0.9608854960760749,0.9633320932545892,0.9661664046674514,0.9697994504995631,0.9729718159812655,0.9765547882439318,0.9791579955105626,0.9831423775533003,0.9869199975673683,0.9913132654081378
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,gpu,symmetric,0.9586582969550371,0.9586582969550371,0.9596713296164097,0.9606217987133419,0.9622557059768744,0.9633650529607032,0.9647979584648263,0.9654515004760944,0.9680586044449149,0.9689142412592348,0.9691387206374898,0.9725997911257911
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication,negative,0.9631874681287973,0.9631874681287973,0.9285662500008202,0.9249567362766722,0.8738551858686046,0.9228213210618292,0.8400479984068574,0.8588703117189542,0.8137259523544302,0.8260507450309132,0.7840076541488106,0.8325608218435341
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication,positive,0.9631874681287973,0.9631874681287973,0.9996441739319372,0.992007265849892,0.951994450154048,0.9398681534238784,0.9105250452127654,0.8143730331479591,0.7534742308951501,0.7971542411320289,0.764877937341762,0.7249129559506666
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication,symmetric,0.9631874681287973,0.9631874681287973,0.9685002865655868,0.9462724975406149,0.9821941382845703,0.9351995953743923,0.989702954588759,0.9005657180567093,0.9856579687163192,0.9558827918690196,0.8792189761210807,0.8076924868291498
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,gpu,negative,0.9631874681287973,0.9631874681287973,0.9631874162512635,0.963187368337172,0.9631873263525855,0.9631873865510592,0.9631874564552465,0.9631872498911483,0.9631873438615146,0.963187127380361,0.9631872398383372,0.9631873243595327
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,gpu,positive,0.9631874681287973,0.9631874681287973,0.9648439509542354,0.966677771349392,0.9690524376981103,0.9718855378642797,0.9750628143440924,0.9770913287280621,0.9809397679947212,0.9827217104748693,0.9863438672249031,0.989449674568211
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,gpu,symmetric,0.9631874681287973,0.9631874681287973,0.964016813080201,0.9645131906371999,0.9655113756908172,0.9669571398049757,0.9681088590892665,0.9688712846462507,0.9700581102080663,0.9716322727731337,0.9720317822016753,0.973235217423839
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication,negative,0.9481829147745037,0.9481829147745037,0.932719340127496,0.9135180293476068,0.8859165394077255,0.8855756042250837,0.8668841578513706,0.8662054861805494,0.8461624391235543,0.8206885037861146,0.8543083169057273,0.7956935603973926
