section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_27,between_compute_and_communication,remove all compute<->communication dependency,1295621.1530000002,-441446.99679687456,0.25413337804190095,-135972.16166015598,0.07827681468689411,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_27,communication_to_communication,remove communication->communication dependency,1601095.9881367187,-135972.16166015598,0.07827681468689411,-135972.16166015598,0.07827681468689411,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_27,communication_to_compute,remove communication->compute dependency,1410472.0983046875,-326596.0514921872,0.1880156812099617,-135972.16166015598,0.07827681468689411,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_27,compute_to_communication,remove compute->communication dependency,1370351.0981992187,-366717.051597656,0.21111264497051443,-135972.16166015598,0.07827681468689411,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_2,START_27,compute_to_compute,remove compute->compute dependency,1396834.581019531,-340233.5687773437,0.19586656333381575,-135972.16166015598,0.07827681468689411,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,between_compute_and_communication,remove all compute<->communication dependency,1490057.314,-493233.0460000003,0.24869431927254476,-147078.8449882816,0.07415900765447253,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,communication_to_communication,remove communication->communication dependency,1836211.5150117187,-147078.8449882816,0.07415900765447253,-147078.8449882816,0.07415900765447253,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,communication_to_compute,remove communication->compute dependency,1620799.815265625,-362490.5447343753,0.1827723020518162,-147078.8449882816,0.07415900765447253,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,compute_to_communication,remove compute->communication dependency,1545275.3746406233,-438014.985359377,0.22085267704290001,-147078.8449882816,0.07415900765447253,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_26,compute_to_compute,remove compute->compute dependency,1601481.0922109373,-381809.26778906304,0.1925130457393354,-147078.8449882816,0.07415900765447253,,,,
