world_npu,gap_median_ms,gap_mean_ms,gap_p90_ms,median_step_ms,p99_over_p50_median,tflops_median,mfu,n_iters,n_ranks,step_files
16,6.572500000002037,7.817035714285642,12.637150000009566,119755.8475,1.0000547603138887,118.6,0.4050684791147238,42,16,16
32,3.963999999999942,4.295332500000077,5.559399999999731,57668.16525,1.000067484612556,123.1,0.4204378564841695,200,32,32
64,2.700749999999971,2.9276925000000484,3.9018500000012857,31111.907000000003,1.000081205707436,114.1,0.38969910174527816,200,64,64
96,2.2647500000020955,5.3362449999997805,3.3202500000017605,20139.4955,1.0001006472547131,117.2,0.40028689504422965,200,96,96
