node_idx,node,phy_id,power_w_mean,aicore_pct_mean,n_power,n_aicore
5,montyyin-moe96-r2-worker-4,2,507.03250000000014,36.925,80,80
5,montyyin-moe96-r2-worker-4,3,,38.1375,0,80
5,montyyin-moe96-r2-worker-4,4,503.71999999999997,36.825,80,80
5,montyyin-moe96-r2-worker-4,5,,38.1875,0,80
5,montyyin-moe96-r2-worker-4,6,523.7050000000002,38.0375,80,80
5,montyyin-moe96-r2-worker-4,7,,39.5625,0,80
5,montyyin-moe96-r2-worker-4,8,557.1099999999999,41.7625,80,80
5,montyyin-moe96-r2-worker-4,9,,41.95,0,80
5,montyyin-moe96-r2-worker-4,10,538.17375,42.7,80,80
5,montyyin-moe96-r2-worker-4,11,,43.425,0,80
5,montyyin-moe96-r2-worker-4,12,545.6487500000001,42.2625,80,80
5,montyyin-moe96-r2-worker-4,13,,42.325,0,80
5,montyyin-moe96-r2-worker-4,14,554.6087500000001,42.7,80,80
5,montyyin-moe96-r2-worker-4,15,,45.0875,0,80
