node_idx,node,phy_id,power_w_mean,aicore_pct_mean,n_power,n_aicore
5,montyyin-moe96-r2-worker-4,1,,0.0,0,38
5,montyyin-moe96-r2-worker-4,2,163.5157894736842,0.0,38,38
5,montyyin-moe96-r2-worker-4,3,,0.0,0,38
5,montyyin-moe96-r2-worker-4,4,157.26315789473682,0.0,38,38
5,montyyin-moe96-r2-worker-4,5,,0.0,0,38
5,montyyin-moe96-r2-worker-4,6,161.2894736842105,0.0,38,38
5,montyyin-moe96-r2-worker-4,7,,0.0,0,38
5,montyyin-moe96-r2-worker-4,8,166.50263157894736,0.0,38,38
5,montyyin-moe96-r2-worker-4,9,,0.0,0,38
5,montyyin-moe96-r2-worker-4,10,160.4368421052632,0.0,38,38
5,montyyin-moe96-r2-worker-4,11,,0.0,0,38
5,montyyin-moe96-r2-worker-4,12,155.6263157894737,0.0,38,38
5,montyyin-moe96-r2-worker-4,13,,0.0,0,38
5,montyyin-moe96-r2-worker-4,14,162.55526315789473,0.0,38,38
5,montyyin-moe96-r2-worker-4,15,,0.0,0,38
